No.,Station Code,Station Name,Arrival,Departure,Distance,Train No.
1,MS,Chennai Egmore,Source,15:00 (Day 1),0 km,06351
2,TBM,Tambaram,15:23 (Day 1),15:25 (Day 1),25 km,06351
3,CGL,Chengalpattu,15:58 (Day 1),16:00 (Day 1),56 km,06351
4,VM,Villuparam Junction,17:53 (Day 1),17:55 (Day 1),159 km,06351
5,VRI,Vridhachalam Junction,18:38 (Day 1),18:40 (Day 1),213 km,06351
6,TPJ,Tiruchchirapali,20:43 (Day 1),20:45 (Day 1),336 km,06351
7,DG,Dindigul Junction,21:53 (Day 1),21:55 (Day 1),431 km,06351
8,MDU,Madurai Junction,23:25 (Day 1),23:40 (Day 1),497 km,06351
9,VPT,Virudunagar Junction,00:25 (Day 2),00:27 (Day 2),540 km,06351
10,SRT,Satur,00:50 (Day 2),00:52 (Day 2),567 km,06351
11,CVP,Kovilpatti,01:12 (Day 2),01:14 (Day 2),588 km,06351
12,TEN,Tirunelveli,02:20 (Day 2),02:25 (Day 2),653 km,06351
13,VLY,Valliyur,03:00 (Day 2),03:02 (Day 2),695 km,06351
14,NCJ,Nagercoil Junction,03:45 (Day 2),Destination,727 km,06351
1,NCJ,Nagercoil Junction,Source,17:05 (Day 1),0 km,06352
2,TEN,Tirunelveli,18:15 (Day 1),18:20 (Day 1),74 km,06352
3,CVP,Kovilpatti,19:10 (Day 1),19:12 (Day 1),139 km,06352
4,SRT,Satur,19:35 (Day 1),19:37 (Day 1),160 km,06352
5,VPT,Virudunagar Junction,20:10 (Day 1),20:12 (Day 1),187 km,06352
6,MDU,Madurai Junction,20:50 (Day 1),21:10 (Day 1),230 km,06352
7,DG,Dindigul Junction,22:10 (Day 1),22:12 (Day 1),296 km,06352
8,TPJ,Tiruchchirapali,23:48 (Day 1),23:50 (Day 1),391 km,06352
9,VRI,Vridhachalam Junction,01:53 (Day 2),01:55 (Day 2),514 km,06352
10,VM,Villuparam Junction,02:58 (Day 2),03:00 (Day 2),568 km,06352
11,CGL,Chengalpattu,04:43 (Day 2),04:45 (Day 2),671 km,06352
12,TBM,Tambaram,05:13 (Day 2),05:15 (Day 2),702 km,06352
13,MBM,Mambalam,05:33 (Day 2),05:35 (Day 2),720 km,06352
14,MS,Chennai Egmore,06:15 (Day 2),Destination,727 km,06352
1,NCJ,Nagercoil Junction,Source,06:30 (Day 1),0 km,06354
2,TEN,Tirunelveli,08:30 (Day 1),08:35 (Day 1),74 km,06354
3,CVP,Kovilpatti,09:43 (Day 1),09:45 (Day 1),139 km,06354
4,SRT,Satur,10:08 (Day 1),10:10 (Day 1),160 km,06354
5,VPT,Virudunagar Junction,10:43 (Day 1),10:45 (Day 1),187 km,06354
6,MDU,Madurai Junction,11:45 (Day 1),11:50 (Day 1),230 km,06354
7,DG,Dindigul Junction,13:05 (Day 1),13:10 (Day 1),296 km,06354
8,TPJ,Tiruchchirapali,15:05 (Day 1),15:10 (Day 1),391 km,06354
9,VRI,Vridhachalam Junction,16:38 (Day 1),16:40 (Day 1),514 km,06354
10,VM,Villuparam Junction,18:00 (Day 1),18:05 (Day 1),568 km,06354
11,CGL,Chengalpattu,20:33 (Day 1),20:35 (Day 1),671 km,06354
12,TBM,Tambaram,21:03 (Day 1),21:05 (Day 1),702 km,06354
13,MS,Chennai Egmore,21:45 (Day 1),22:00 (Day 1),727 km,06354
14,GDR,Gudur Junction,00:28 (Day 2),00:30 (Day 2),868 km,06354
15,BZA,Vijayawada Junction,04:50 (Day 2),05:00 (Day 2),1161 km,06354
16,WL,Warangal,07:45 (Day 2),07:47 (Day 2),1370 km,06354
17,BPQ,Balharshah,11:30 (Day 2),11:40 (Day 2),1612 km,06354
18,NGP,Nagpur,14:50 (Day 2),15:00 (Day 2),1823 km,06354
19,AMLA,Amla Junction,17:28 (Day 2),17:30 (Day 2),1991 km,06354
20,ET,Itarsi Junction,20:45 (Day 2),21:05 (Day 2),2120 km,06354
21,PPI,Pipariya,22:05 (Day 2),22:07 (Day 2),2188 km,06354
22,JBP,Jabalpur,01:00 (Day 3),01:10 (Day 3),2365 km,06354
23,KTE,Katni,02:25 (Day 3),02:30 (Day 3),2456 km,06354
24,STA,Satna,04:05 (Day 3),04:10 (Day 3),2554 km,06354
25,MKP,Manikpur Junction,06:15 (Day 3),06:17 (Day 3),2632 km,06354
26,COI,Cheoki,08:13 (Day 3),08:15 (Day 3),2724 km,06354
27,MZP,Mirzapur,09:13 (Day 3),09:15 (Day 3),2805 km,06354
28,MGS,Mughal Sarai Junction,11:50 (Day 3),12:00 (Day 3),2867 km,06354
29,BXR,Buxar,13:13 (Day 3),13:15 (Day 3),2961 km,06354
30,ARA,Ara,14:03 (Day 3),14:05 (Day 3),3030 km,06354
31,DNR,Danapur,15:05 (Day 3),15:07 (Day 3),3069 km,06354
32,PNBE,Patna Junction,16:00 (Day 3),Destination,3079 km,06354
1,PNBE,Patna Junction,Source,20:20 (Day 1),0 km,06514
2,DNR,Danapur,20:35 (Day 1),20:37 (Day 1),10 km,06514
3,ARA,Ara,21:05 (Day 1),21:07 (Day 1),50 km,06514
4,BXR,Buxar,22:00 (Day 1),22:02 (Day 1),118 km,06514
5,MGS,Mughal Sarai Junction,23:45 (Day 2),00:05 (Day 2),212 km,06514
6,STA,Satna,05:35 (Day 2),05:45 (Day 2),525 km,06514
7,KTE,Katni,06:55 (Day 2),07:00 (Day 2),623 km,06514
8,JBP,Jabalpur,08:40 (Day 2),08:50 (Day 2),714 km,06514
9,ET,Itarsi Junction,12:55 (Day 2),13:15 (Day 2),959 km,06514
10,GDYA,Ghoradongri,14:13 (Day 2),14:15 (Day 2),1030 km,06514
11,BZU,Betul,15:01 (Day 2),15:02 (Day 2),1066 km,06514
12,PAR,Pandhurna,16:22 (Day 2),16:23 (Day 2),1153 km,06514
13,NGP,Nagpur,18:25 (Day 2),18:45 (Day 2),1256 km,06514
14,SEGM,Sevagram,19:57 (Day 2),19:58 (Day 2),1333 km,06514
15,CD,Chandrapur,21:49 (Day 2),21:50 (Day 2),1454 km,06514
